GeoNetwork,ID GeoNetwork,BSD,ID BSD
PPR SARE (64DDTM20080014) - Zone d'aléa du Plan de Prévention du Risque Inondation de SARE (64504), département des Pyrénées-Atlantiques.,fr-120066022-jdd-c57e5d59-828c-4bd7-a02e-fad4bca11293,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
BXM - Relation entre couloir de bus et ligne du réseau de transports urbains sur Bordeaux métropole,7e719560-dcb2-49f2-9e8c-8abae362b259,RELATION ENTRE COULOIR BUS ET LIGNE,1508
BXM - Parcelles des emprises publiques futures sur Bordeaux Métropole,cdfb44e5-c1c9-45b2-b247-1f99bae99ff2,PARCELLES DES EMPRISES PUBLIQUES FUTURES,1820
Nouvelle-Aquitaine partiel : Installations classées pour la Protection de l'Environnement (ICPE) faisant l'objet d'une servitude d'utilité publique (SUP) - Emprise (surfacique),fr-120066022-jdd-2f9afaa6-6d75-4723-883e-3c21af0f8333,INSTALLATIONS CLASSEES POUR LA PROTECTION DE L'ENVIRONNEMENT,54
PPR SERRES-CASTET (64DDTM20050013) - Zone d'informations d'un plan de prévention du risque Inondation de SERRES-CASTET (64519), département des Pyrénées-Atlantiques.,fr-120066022-jdd-84ddc00b-47c0-4971-b6a2-1fc6b0935134,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR AINHOA (64DDTM20080011) - Zone d'aléa du Plan de Prévention du Risque Inondation de AINHOA (64014), département des Pyrénées-Atlantiques.,fr-120066022-jdd-c0993aa5-3aa3-4924-ac70-1806afdf62c7,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
BXM - Servitudes de mixité sociale du Plan Local d'Urbanisme (PLU) sur le territoire de Bordeaux Métropole,d6607fdd-7f76-4bb2-a493-87636ba4e8df,SERVITUDES D'UTILITE PUBLIQUE PLAN LOCAL D'URBANISME,4237
PPR LARRAU (64DDTM20050024) - Zone réglementée du Plan de Prévention du Risque Inondation de LARRAU (64316), département des Pyrénées-Atlantiques.,fr-120066022-jdd-084d53e1-670a-4360-b8ba-121626a7ff75,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR OSSE-EN-ASPE (64DDTM19970023) - Zone d'aléa du Plan de Prévention du Risque Inondation de OSSE-EN-ASPE (64433), département des Pyrénées-Atlantiques.,fr-120066022-jdd-0346cde7-5ab9-4986-9666-031c8fa55d12,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ASCAIN (64DDTM20080012) - Zone réglementée du Plan de Prévention du Risque Inondation de ASCAIN (64065), département des Pyrénées-Atlantiques.,fr-120066022-jdd-2484f2ac-7fde-4495-9ca6-0a431eba1ab2,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MAZERES-LEZONS (64DDTM19980009) - Zone d'informations d'un plan de prévention du risque Inondation de MAZERES-LEZONS (64373), département des Pyrénées-Atlantiques.,fr-120066022-jdd-a9ff6576-d9b3-4675-a970-612e1696d77b,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR IDRON (64DDTM19970016) - Zone d'aléa du Plan de Prévention du Risque Inondation de la commune de Idron (64269), département des Pyrénées-Atlantiques.,fr-120066022-jdd-969d973e-8f60-4293-bdd5-54016d3e0846,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque INONDATION ET INSTABILITE DES BERGES DU LOT - Commune Montayral - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-79802cca-3db3-464e-94c9-9154559ed965,GASPAR (GESTION ASSISTEE DES PROCEDURES ADMINISTRATIVES RELATIVES AUX RISQUES NATURELS ET TECHNOLOGIQUES),680
BXM - Limites des emprises publiques futures sur Bordeaux Métropole,58e1d419-6089-43bd-a592-60761f71ef67,LIMITES DES EMPRISES PUBLIQUES FUTURES,1808
PPR ASSAT (64DDTM20050009) - Zone d'aléa du Plan de Prévention du Risque Inondation de ASSAT (64067), département des Pyrénées-Atlantiques.,fr-120066022-jdd-0323c797-352c-48fd-b5b8-572d275a9989,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR PARDIES (64DDTM20080002) - Zone réglementée du Plan de Prévention du Risque Inondation de PARDIES (64443), département des Pyrénées-Atlantiques.,fr-120066022-jdd-e9501039-097a-4e06-a355-afb6f1d0528a,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR SARE (64DDTM20080014) - Zone d'informations d'un plan de prévention du risque Inondation de SARE (64504), département des Pyrénées-Atlantiques.,fr-120066022-jdd-b335add5-6f39-462a-b050-2c28129192db,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ARROS-DE-NAY (64DDTM20010002) - Zone d'aléa du Plan de Prévention du Risque Inondation de ARROS-DE-NAY (64054), département des Pyrénées-Atlantiques.,fr-120066022-jdd-62be71dd-f1b0-4cc1-aa63-7b33914d0874,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Nouvelle-Aquitaine partiel : N2000 - Habitats Naturels des sites du réseau Natura 2000 - Zonages (surfacique),fr-120066022-jdd-b3cfd97e-c9be-4ea9-b9b2-40c409640b9e,NATURA 2000 : ZSC - HABITATS NATURELS,3170
PPR AYDIUS (64DDTM19970018) - Zone d'aléa du Plan de Prévention du Risque Inondation de AYDIUS (64085), département des Pyrénées-Atlantiques.,fr-120066022-jdd-5a1f205d-c063-43b1-aceb-1de704a9c34f,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MAZERES LEZON (64DDTM19980009) - Zone réglementée du Plan de Prévention du Risque Inondation de MAZERES LEZON (64373), département des Pyrénées-Atlantiques.,fr-120066022-jdd-6b8792b2-859a-4077-8851-9f4d21077228,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR NAY (64DDTM20000007) - Zone réglementée du Plan de Prévention du Risque Inondation de la commune de Nay (64417), département des Pyrénées-Atlantiques,fr-120066022-jdd-b9dbc345-f255-4803-933d-41dca448853f,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque MOUVEMENT DE TERRAIN - Commune Nicole - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-344135ae-fa66-4f51-a389-82e44eb35d57,WEB_3_5_LES COMMUNES CONCERNÉES PAR LES RISQUES MOUVEMENT DE TERRAIN EN DORDOGNE,2294
PPR LABASTIDE-CEZERACQ (64DDTM19970009) - Zone d'aléa du Plan de Prévention du Risque Inondation de Labastide-Cézéracq  (64288), département des Pyrénées-Atlantiques.,fr-120066022-jdd-4db410ec-e213-496c-b0b5-5bebb3519cc9,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR IDRON (64DDTM19970016) - Zone d'informations d'un plan de prévention du risque Inondation de la commune de Idron (64269), département des Pyrénées-Atlantiques.,fr-120066022-jdd-cb037e75-7861-453f-9143-431d74b78374,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR OUSSE (64DDTM20130010) - Zone réglementée du plan de prévention du risque inondation (PPRN-PPRI) de la commune de OUSSE, 64439, département des Pyrénées-Atlantiques,fr-120066022-jdd-26232013-7254-4e43-82d4-c8e4fe3243f0,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR PARDIES (64DDTM20080002) - Zone d'informations d'un plan de prévention du risque Inondation de PARDIES (64443), département des Pyrénées-Atlantiques.,fr-120066022-jdd-4c586283-aafa-4d04-bee2-55aeef52279a,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ARTIGUELOUTAN (64DDTM19970003) - Zone réglementée du Plan de Prévention du Risque Inondation de Artigueloutan (64059), département des Pyrénées-Atlantiques.,fr-120066022-jdd-98feeefd-fc70-4694-8d4f-f6302e1c7fbd,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque MOUVEMENT DE TERRAIN-TASSEMENTS DIFFERENTIELS - 132 communes - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-86156342-e7f7-41c8-bf1c-bf419daf0d91,WEB_3_5_LES COMMUNES CONCERNÉES PAR LES RISQUES MOUVEMENT DE TERRAIN EN DORDOGNE,2294
PPR GAN (64DDTM20050004) - Zone d'aléa du Plan de Prévention du Risque Inondation de GAN (64230), département des Pyrénées-Atlantiques.,fr-120066022-jdd-7e167d69-1373-4b4b-9e95-574609590058,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR LESCUN (Révision) (64DDTM20060009) - Périmètre du Plan de Prévention du Risque Inondation de LESCUN (Révision) (64336), département des Pyrénées-Atlantiques.,fr-120066022-jdd-050e853d-a526-4479-b678-22108cc2b130,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MEILLON (64DDTM20050002) - Zone d'informations d'un plan de prévention du risque Inondation de MEILLON (64376), département des Pyrénées-Atlantiques.,fr-120066022-jdd-5816cf7c-0f13-433c-9a9f-2b9e8ca8ee63,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR UZOS (64DDTM20050017) - Zone d'informations d'un plan de prévention du risque Inondation de UZOS (64550), département des Pyrénées-Atlantiques.,fr-120066022-jdd-192de12f-ee82-4abc-a2c0-42e30e2242a0,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque INONDATION ET INSTABILITE DES BERGES DU LOT - Commune Penne-D'Agenais - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-26d7bbdd-a93b-448c-a004-55f09eb887e3,GASPAR (GESTION ASSISTEE DES PROCEDURES ADMINISTRATIVES RELATIVES AUX RISQUES NATURELS ET TECHNOLOGIQUES),680
Plan de prévention des risques naturels - Risque INONDATION ET INSTABILITE DES BERGES DU LOT - Commune Clairac - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-d868a9e8-8db3-433a-a7fa-2cc932b2ac92,GASPAR (GESTION ASSISTEE DES PROCEDURES ADMINISTRATIVES RELATIVES AUX RISQUES NATURELS ET TECHNOLOGIQUES),680
Plan de prévention des risques naturels - Risque INONDATION ET INSTABILITE DES BERGES DU LOT - Commune Saint-Sylvestre-Sur-Lot - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-76baa234-f3dc-46f5-ae4a-65fb1f1ba6a6,GASPAR (GESTION ASSISTEE DES PROCEDURES ADMINISTRATIVES RELATIVES AUX RISQUES NATURELS ET TECHNOLOGIQUES),680
Plan de prévention des risques naturels - Risque INONDATION ET INSTABILITE DES BERGES DU LOT - Commune Tremons - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-07d1d9d3-de2f-406a-a339-f3ea5bcbb513,GASPAR (GESTION ASSISTEE DES PROCEDURES ADMINISTRATIVES RELATIVES AUX RISQUES NATURELS ET TECHNOLOGIQUES),680
PPR TARSACQ (64DDTM20100002) - Zone d'informations d'un plan de prévention du risque Inondation de TARSACQ (64535), département des Pyrénées-Atlantiques.,fr-120066022-jdd-65d93190-3e85-41d1-a1da-a89627e127cd,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ANGAÏS (64DDTM20050012) - Zone réglementée du Plan de Prévention du Risque Inondation de ANGAÏS (64023), département des Pyrénées-Atlantiques.,fr-120066022-jdd-acff42a0-b3f7-45cd-9930-6a46c661b888,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Classement sanitaire des zones de productions des coquillages bivalves fouisseurs sur le domaine public maritime (DPM) de la Charente-Maritime.,fr-120066022-jdd-1f90eb67-836a-4a92-a2c1-946e25dd16d6,DOMAINE PUBLIC MARITIME (DPM),2167
PPR RONTIGNON (64DDTM20050016) - Zone d'aléa du Plan de Prévention du Risque Inondation de RONTIGNON (64467), département des Pyrénées-Atlantiques.,fr-120066022-jdd-67aaa5bb-8fcb-4cec-a643-070ab957116a,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR BOURDETTES (64DDTM20000010) - Zone réglementée du Plan de Prévention du Risque Inondation de la commune de Bourdettes (64145), département des Pyrénées-Atlantiques,fr-120066022-jdd-fc6b189e-9045-4d16-8db9-6c5dc4da16a8,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR SAINT-PIERRE-D'IRUBE (64DDTM20060003) - Zone réglementée du Plan de Prévention du Risque Inondation de SAINT-PIERRE-D'IRUBE (64496), département des Pyrénées-Atlantiques.,fr-120066022-jdd-236765e0-76f5-4b49-9a89-03cccea4c376,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR LICQ-ATHEREY (64DDTM20000016) - Zone d'aléa du Plan de Prévention du Risque Inondation de LICQ-ATHEREY (64342), département des Pyrénées-Atlantiques.,fr-120066022-jdd-7217e316-484b-420b-a616-430822545630,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque MOUVEMENT DE TERRAIN - Commune Colayrac-Saint-Cirq - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-f23f7ec1-2cf6-4bb7-ac02-45b12bd987c6,WEB_3_5_LES COMMUNES CONCERNÉES PAR LES RISQUES MOUVEMENT DE TERRAIN EN DORDOGNE,2294
PPR SAINT-PEE-SUR-NIVELLE (64DDTM20080013) - Zone réglementée du Plan de Prévention du Risque Inondation de SAINT-PEE-SUR-NIVELLE (64495), département des Pyrénées-Atlantiques.,fr-120066022-jdd-7370a53e-ea2b-4f6b-a3a3-4f9a6b75aa47,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR NARCASTET (64DDTM20020011) - Zone d'informations d'un plan de prévention du risque Inondation de NARCASTET (64413), département des Pyrénées-Atlantiques.,fr-120066022-jdd-9f3e9885-cdbe-4ff8-875d-3c0725a9ba9f,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque INONDATION ET INSTABILITE DES BERGES DU LOT - Commune Bourran - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-bb1f1319-9ab5-4fa2-a44f-329a5842006f,GASPAR (GESTION ASSISTEE DES PROCEDURES ADMINISTRATIVES RELATIVES AUX RISQUES NATURELS ET TECHNOLOGIQUES),680
PPR D'IZESTE (64DDTM20020008) - Périmètre du Plan de Prévention du Risque Inondation de IZESTE (64280), département des Pyrénées-Atlantiques.,fr-120066022-jdd-93beb2ad-2331-4947-9dd9-2bb2aed73d6d,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR BARZUN (64DDTM20020005) - Périmètre du Plan de Prévention du Risque Inondation de BARZUN (64097), département des Pyrénées-Atlantiques.,fr-120066022-jdd-3d038a38-98fe-420e-b2d1-23628eb41a6f,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ARTIGUELOUTAN (64DDTM19970003) - Périmètre du Plan de Prévention du Risque Inondation de Artigueloutan (64059), département des Pyrénées-Atlantiques.,fr-120066022-jdd-2170ac9e-30d4-4cef-970e-d270cf0b1848,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MIREPEIX (64DDTM20000006) - Zone d'informations d'un Plan de Prévention du Risque Inondation de Mirepeix (64386), département des Pyrénées-Atlantiques,fr-120066022-jdd-6fe5a0aa-a269-41b2-aa3a-783d597388ee,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR SAINT-PIERRE-D'IRUBE (64DDTM20060003) - Périmètre du Plan de Prévention du Risque Inondation de SAINT-PIERRE-D'IRUBE (64496), département des Pyrénées-Atlantiques.,fr-120066022-jdd-43591e78-7042-47f8-ae0a-fd9c32fe9971,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ANGAÏS (64DDTM20050012) - Périmètre du Plan de Prévention du Risque Inondation de ANGAÏS (64023), département des Pyrénées-Atlantiques.,fr-120066022-jdd-4f4bb279-026d-49a4-bcbb-f3b10ad6f3dd,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MEILLON (64DDTM20050002) - Zone d'aléa du Plan de Prévention du Risque Inondation de MEILLON (64376), département des Pyrénées-Atlantiques.,fr-120066022-jdd-dc87e57e-a82b-41a8-b93c-fe9af393e314,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque MOUVEMENT DE TERRAIN - Commune Layrac - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-2ea8b01e-9a83-4115-bb36-a9a0981f3c37,WEB_3_5_LES COMMUNES CONCERNÉES PAR LES RISQUES MOUVEMENT DE TERRAIN EN DORDOGNE,2294
PPR CIBOURE (64DDTM19870004) - Zone réglementée du Plan de Prévention du Risque Inondation de CIBOURE (64189), département des Pyrénées-Atlantiques.,fr-120066022-jdd-e8678f17-689b-409f-84b6-fa2ff456148a,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ACCOUS (révision) (64DDTM20060008) - Zone réglementée du Plan de Prévention du Risque Inondation de ACCOUS (64006), département des Pyrénées-Atlantiques.,fr-120066022-jdd-a1984014-8f27-45a0-97cc-a9c7eb0aa8e9,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR LAHONCE (64DDTM19980007) - Périmètre du Plan de Prévention du Risque Inondation de LAHONCE (64304), département des Pyrénées-Atlantiques.,fr-120066022-jdd-83c0d3a0-5ac1-4876-9791-a30d80cc4f4c,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MAZERES LEZON (64DDTM19980009) - Périmètre du Plan de Prévention du Risque Inondation de MAZERES LEZON (64373), département des Pyrénées-Atlantiques.,fr-120066022-jdd-ee081741-05a8-4d02-9004-38935210fb5b,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR LARUNS (64DDTM20060005) - Périmètre du Plan de Prévention du Risque Inondation de LARUNS (64320), département des Pyrénées-Atlantiques.,fr-120066022-jdd-1283ed1c-1c1b-4304-9eb7-a865c3d1e401,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR BESINGRAND (64DDTM20110009) - Zone réglementée du Plan de Prévention du Risque Inondation de BESINGRAND (64117), département des Pyrénées-Atlantiques.,fr-120066022-jdd-14d9b4a3-cca5-40dc-9341-2a633f1402f2,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ARUDY (64DDTM20020002) - Zone d'informations d'un Plan de Prévention du Risque Inondation de Arudy (64062), département des Pyrénées-Atlantiques,fr-120066022-jdd-e6ac8c9f-87a1-49d8-878a-10eb7349f49a,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR NAY (64DDTM20000007) - Zone d'aléa du Plan de Prévention du Risque Inondation de Nay (64417), département des Pyrénées-Atlantiques.,fr-120066022-jdd-dd681b3f-7090-4397-991f-07e5820fbe5f,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ASTE-BEON (64DDTM20060006) - Zone d'aléa du Plan de Prévention du Risque Inondation de ASTE-BEON (64069), département des Pyrénées-Atlantiques.,fr-120066022-jdd-378a273d-b2fb-4507-966d-d3ef2b29354e,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
ALPC partiel : Installations classées pour la Protection de l'Environnement (ICPE) aux terrains potentiellement pollués faisant l'objet d'une servitude d'utilité publique (SUP),fr-120066022-ldd-eff35162-c530-4db0-a1ef-19c5e6569780,INSTALLATIONS CLASSEES POUR LA PROTECTION DE L'ENVIRONNEMENT,54
PPR GAN (64DDTM20050004) - Zone réglementée du Plan de Prévention du Risque Inondation de GAN (64230), département des Pyrénées-Atlantiques.,fr-120066022-jdd-c418668b-6048-4371-9e9b-2e8885a1d48b,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Plan de prévention des risques naturels - Risque MOUVEMENT DE TERRAIN-TASSEMENTS DIFFERENTIELS - Communes Bourgougnague, Gavaudun, Lasserre - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-8b1f863a-12b1-478d-8558-c3b7a439cc34,WEB_3_5_LES COMMUNES CONCERNÉES PAR LES RISQUES MOUVEMENT DE TERRAIN EN DORDOGNE,2294
CD64 - Territoires des Plan Locaux pour l'Insertion et l'Emploi (PLIE),d9cc1c6f-437d-4b6e-99ff-22d4c08dffab,ZONES INTERVENTION PLAN LOCAL PR L'INSERTION ET L'EMPLOI (PLIE),1104
PPR ARETTE (64DDTM20010010) - Zone d'aléa du Plan de Prévention du Risque Inondation de ARETTE (64040), département des Pyrénées-Atlantiques.,fr-120066022-jdd-a07c2dbd-bc2f-4f70-88d1-2386a7f36330,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR de BORDERES (64DDTM20050006 ) - Zone d'aléa du Plan de Prévention du Risque Inondation de Bordéres (64137) , département des Pyrénées-Atlantiques.,fr-120066022-jdd-8fb1e6df-7a2f-4cc2-b05a-6d13c3b903b9,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR BEDOUS (64DDTM19970019) - Zone réglementée du Plan de Prévention du Risque Inondation de BEDOUS (64104), département des Pyrénées-Atlantiques.,fr-120066022-jdd-e46a97b5-f66b-457d-85d2-2ce73fc96054,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR MOUGUERRE (64DDTM20050018) - Zone d'informations d'un plan de prévention du risque Inondation de MOUGUERRE (64407), département des Pyrénées-Atlantiques.,fr-120066022-jdd-88c8434b-4bef-4ae6-a014-c9ae3345fcbb,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR d'Agnos (64DDTM20130013) - Zone d'informations (ponctuelles) d'un plan de prévention du risque Inondation de d'Agnos (64007), département des Pyrénées-Atlantiques.,fr-120066022-jdd-f920e2c4-c64b-4fc4-93be-03e31129f016,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR OSSE-EN-ASPE (64DDTM19970023) - Zone réglementée du Plan de Prévention du Risque Inondation de OSSE-EN-ASPE (64433), département des Pyrénées-Atlantiques.,fr-120066022-jdd-359315f6-fc29-47d5-aebe-1e827892b20e,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
Classement sanitaire des zones de production de coquillages bivalves non fouisseurs sur le domaine public maritime (DPM) de la Charente-Maritime,fr-120066022-jdd-7de69400-aba4-4968-9ee5-40ad2e79199c,DOMAINE PUBLIC MARITIME (DPM),2167
PPR ARUDY (64DDTM20020002) - Zone réglementée du Plan de Prévention du Risque Inondation de la commune de Arudy (64062), département des Pyrénées-Atlantiques,fr-120066022-jdd-7f5bfe04-b758-437a-9b65-8ef35fbfba82,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR SAINTE-ENGRACE (64DDTM20000017) - Périmètre du Plan de Prévention du Risque Inondation de SAINTE-ENGRACE (64475), département des Pyrénées-Atlantiques.,fr-120066022-jdd-eb4251a2-b5b7-443f-ae33-719a931bc4f8,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR ETSAUT (64DDTM19970021) - Zone d'aléa du Plan de Prévention du Risque Inondation de ETSAUT (64223), département des Pyrénées-Atlantiques.,fr-120066022-jdd-732272a0-2473-4c90-b2f1-aef57e2bda99,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR LAGOS (64DDTM20050007) - Zone réglementée du Plan de Prévention du Risque Inondation de LAGOS (64302), département des Pyrénées-Atlantiques.,fr-120066022-jdd-aa8fd694-7068-4eed-9e21-03b0caec355c,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
PPR PARDIES-PIÉTAT (64DDTM20010003) - Zone réglementée du Plan de Prévention du Risque Inondation de la commune de Pardies-Piétat (64444), département des Pyrénées-Atlantiques,fr-120066022-jdd-95b3e5af-cda5-472f-8e1d-28351e1f0cd6,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
BXM - Objets linéaires du Fond de Plan utilisé par le PLU,b137888b-2b19-46c4-bca4-c63d4b4c9f28,PLU : OBJETS LINEAIRES DU FOND DE PLAN,1814
PPR BEDOUS (64DDTM19970019) - Zone d'aléa du Plan de Prévention du Risque Inondation de BEDOUS (64104), département des Pyrénées-Atlantiques.,fr-120066022-jdd-df932a48-188e-4b8c-bec6-637d8adbb2c4,WEB_5_2_PLAN DE PRÉVENTION DU RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2297
