GeoServer,ID GeoServer,BSD,ID BSD
Itinéraires Cyclables en Projet - Référentiel Unique département de la Gironde 33 - Atelier pistes cyclables,FeatureTypeInfoImpl-3215f0b9:1501e8b90c1:-5d25,PISTES CYCLABLES,117
CAUE 33 - Architecture dossiers 2000-2012,FeatureTypeInfoImpl-2ca21f6c:13cad7262a3:-46b4,DOSSIERS CAUE,3173
CAUE 33 - Environnement dossiers 2000-2012,FeatureTypeInfoImpl-2ca21f6c:13cad7262a3:-468f,DOSSIERS CAUE,3173
CAUE 33 - Pédagogique dossiers 2000-2012,FeatureTypeInfoImpl-745229db:13cb06a2cc3:-7ff3,DOSSIERS CAUE,3173
CAUE 33 - Urbanisme dossiers 2000-2012,FeatureTypeInfoImpl-745229db:13cb06a2cc3:-7fe0,DOSSIERS CAUE,3173
CR Aqutaine - THD Offre Triple-Play,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77c9,THD OFFRE,1546
Cadaujac – Servitudes linéaires du PLU,FeatureTypeInfoImpl--6bedd173:138b6b6a47f:-6438,PLU : SERVITUDES,1439
Cadaujac – Servitudes surfaciques du PLU,FeatureTypeInfoImpl--6bedd173:138b6b6a47f:-6414,PLU : SERVITUDES,1439
CDC Sud Pays Basque - Circuit Pedestre,FeatureTypeInfoImpl-66c2438:1379db69c9e:-7206,PAYS BASQUE,805
CDC Sud Pays Basque - Circuit VTT,FeatureTypeInfoImpl-66c2438:1379db69c9e:-638b,PAYS BASQUE,805
IGN - Scan 25,CoverageInfoImpl--21535270:133b13cd29b:-7fff,SCAN 25,251
CDC Val d'Albret - Zonage PLU de St Pierre de Buzet,FeatureTypeInfoImpl--3ce68516:141a7a870c9:-23f9,PLU ZONAGE,2613
IGN - Scan 250,CoverageInfoImpl--7051f1f4:13242bcf565:-7ffe,SCAN 250,262
CG 33 - Atelier pistes cyclables,FeatureTypeInfoImpl--2ac53333:14960b7f7e2:4146,PISTES CYCLABLES,117
SMBV des Lacs du Born - Zones humides de l'arrière dune des pays de Born et de Buch,FeatureTypeInfoImpl--ed32812:14bfe3331b7:-5ec3,ZONES HUMIDES,4030
CR Aquitaine - Atelier pistes cyclables,FeatureTypeInfoImpl-1099598a:149572c7212:-4d48,PISTES CYCLABLES,117
CRPF Aquitaine - Contour du PSG - Mai 2015,FeatureTypeInfoImpl--3ce68516:141a7ed191b:414a,PSG CONTOUR,184
CR Tourisme - Atelier pistes cyclables,FeatureTypeInfoImpl-2090530a:14b6f210de9:-4bc0,PISTES CYCLABLES,117
BxM - Atelier pistes cyclables,FeatureTypeInfoImpl-34ef02ac:14b7323a6fc:225a,PISTES CYCLABLES,117
SMBV des Lacs du Born - Zones humides prioritaires,FeatureTypeInfoImpl--3cb9736d:15607db193b:-378b,ZONES HUMIDES,4030
CG 64 - AEP Ressources en eaux souterraines,FeatureTypeInfoImpl--25d11048:13b23cbf2dc:-2dc9,EAUX SOUTERRAINES,272
COBAS - Atelier pistes cyclables,FeatureTypeInfoImpl-2090530a:14b6e2159a6:-4a5c,PISTES CYCLABLES,117
CR Aqutaine - THD Offre,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77d7,THD OFFRE,1546
CR Aquitaine - Cantons 2015,FeatureTypeInfoImpl--52fb10a8:14c3174f0bb:-3557,CANTONS 2015,3270
DDCSPP 47 - Elevages Porcins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:3087,ELEVAGES PORCINS,4310
DREAL - Vitesse de circulation 2013,FeatureTypeInfoImpl--5080ad91:14fbb46feca:2b1f,VITESSE 2013,3765
DRAC - Jardins remarquables,FeatureTypeInfoImpl-6e51fee3:1461ee230a8:-18c2,JARDINS REMARQUABLES,1654
DRAC - Monuments historiques,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7fa3,MONUMENTS HISTORIQUES,3179
DREAL - Vitesse de circulation 2014,FeatureTypeInfoImpl--25674c34:158fc844334:214b,VITESSE 2014,3764
EHLG - Aides de la PAC sur le Pays Basque en 2013,FeatureTypeInfoImpl-223d3190:15312d010ee:-2782,PAYS BASQUE,805
EHLG - Installations agricoles du Pays Basque,FeatureTypeInfoImpl-223d3190:15312d71b1e:2a9,PAYS BASQUE,805
EPIDOR - Habitats industries,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e16,HABITATS INDUSTRIES,1669
FD chasse 33 - Passages de cerfs,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ddc,PASSAGES CERFS,1555
FD chasse 33 - Passages de chevreuils,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dce,PASSAGES CHEVREUILS,1556
FD chasse 33 - Passages de sangliers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd2,PASSAGES SANGLIERS,1557
FD chasse 33 - Réserves de chasse et de faune sauvage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd8,FAUNE SAUVAGE,3970
IGN - Atelier pistes cyclables,FeatureTypeInfoImpl-34ef02ac:14b727a5e7a:-1f3,PISTES CYCLABLES,117
IGN - BD Parcellaire 24 (raster),CoverageInfoImpl-27b64b81:13413b73026:b54,BD PARCELLAIRE,1205
IGN - BD Parcellaire 33 (raster),CoverageInfoImpl--4a735b4f:13d10d9dc8b:-76d0,BD PARCELLAIRE,1205
IGN - BD Parcellaire 40 (raster),CoverageInfoImpl--7498d948:1456a963756:2bff,BD PARCELLAIRE,1205
IGN - BD Parcellaire 47 (raster),CoverageInfoImpl--7498d948:1456ab556da:-7170,BD PARCELLAIRE,1205
IGN - BD Parcellaire 64 (raster),CoverageInfoImpl--40801fd5:13569610c66:-464d,BD PARCELLAIRE,1205
Scan 25 2010 - Jpeg 2000,CoverageInfoImpl-3ab1af72:1569cd024a2:39d7,SCAN 25,251
IGN - Scan 100,CoverageInfoImpl-1b853102:14058ffa22c:7c5c,SCAN 100,261
IGN - Scan 1000,CoverageInfoImpl-1b853102:1405956ab90:5983,SCAN 1000,263
ON3V - Atelier pistes cyclables,FeatureTypeInfoImpl-520a4c6c:14c9406135e:6d40,PISTES CYCLABLES,117
OSM - Atelier pistes cyclables,FeatureTypeInfoImpl-2090530a:14b6ee07b7b:-95b,PISTES CYCLABLES,117
PNR LG - Eglises et chapelles,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6d62,EGLISES CHAPELLES,406
PNR LG - Patrimoine industriel,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6959,PATRIMOINE INDUSTRIEL,300
RTE - Poste electrique,FeatureTypeInfoImpl--64db1a4f:15a8f5b7695:-3f58,POSTE ELECTRIQUE,1288
SDIS 33 - Atelier pistes cyclables,FeatureTypeInfoImpl-1099598a:14957031d40:172,PISTES CYCLABLES,117
SDIS 64 - PAI Sport,FeatureTypeInfoImpl--35c6cd01:13f56b09214:3dbd,PAI : SPORT,3214
SDIS64 - PAI  Hydrographie,FeatureTypeInfoImpl-45879d41:14c5ae69d57:-4a7a,PAI : HYDROGRAPHIE,3210
SDIS 64 - PAI Orographie,FeatureTypeInfoImpl--1e53a2c2:13f5775683c:-277d,PAI : OROGRAPHIE,3211
SDIS 64 - PAI Religieux,FeatureTypeInfoImpl--1e53a2c2:13f5775683c:-277b,PAI : RELIGIEUX,3212
SDIS 64 - PAI Transport,FeatureTypeInfoImpl--1e53a2c2:13f5775683c:-2764,PAI : TRANSPORT,3215
SIAEP LALINDE - Poteau incendie,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4fd4,POTEAU INCENDIE,4474
SIBA - Atelier pistes cyclables,FeatureTypeInfoImpl-2090530a:14b6dd12291:372,PISTES CYCLABLES,117
SIBA - Ortho 2009 20cm,CoverageInfoImpl--16ec6ada:13673194d60:-5ddd,ORTHO 2009,2692
SMAVLOT - Chambres d'hotes,FeatureTypeInfoImpl-14757e89:141c6cacc4c:-3bfe,CHAMBRES D'HOTES,1461
SMEAG -  Interventions sur les bras morts,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7fa0,BRAS MORTS,433
CAUE 33 - _Zones maisons de gironde,FeatureTypeInfoImpl--60d2bb13:13cb4240a19:-70ea,MAISONS DE GIRONDE,3172
EPIDOR - Sports et loisirs,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e10,SPORTS ET LOISIRS,1668
RTE - Poste de transformation HTB,FeatureTypeInfoImpl--61be1724:14b2fe0efcc:7502,POSTE DE TRANSFORMATION,170
CDC Piémont Oloronais - Station de pompage,FeatureTypeInfoImpl-2245790e:1419d048044:2c0d,STATION DE POMPAGE,1211
ERDF - Poste de transformation RTE - ERDF,FeatureTypeInfoImpl--433409c9:133c599c9af:-7d35,POSTE DE TRANSFORMATION,170
GIP ATGeRi - Impacts de foudre 2014,FeatureTypeInfoImpl--2917b27b:14fd023f59d:-5246,IMPACTS DE FOUDRE,23
PNR LG - Chateaux de terre,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6dad,CHATEAUX DE TERRE,664
RTE - Enceinte de poste,FeatureTypeInfoImpl--64db1a4f:15a8f4251cd:4691,ENCEINTE DE POSTE,4471
TIGF -  Postes de livraison,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-78ae,POSTES DE LIVRAISON,1905
TIGF - Stations de compression,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-7884,STATIONS DE COMPRESSION,1906
Emissions du CO2 en 2012,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-5c6b,EMISSIONS DE GES (GAZ A EFFET DE SERRE) PAR COMMUNE 2012,3709
Emissions du N2O en 2012,FeatureTypeInfoImpl-50da95be:14ebb319442:159d,EMISSIONS DE GES (GAZ A EFFET DE SERRE) PAR COMMUNE 2012,3709
ASP - RPG 2010,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:7f4e,RPG - REGISTRE PARCELLAIRE GRAPHIQUE 2010,2681
DREAL - Schéma d’Aménagement et de Gestion des Eaux,FeatureTypeInfoImpl-5d223b53:134e5d6d059:-5cfb,PAI : GESTION EAUX,3209
Emissions du CH4 en 2012,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-5c8f,EMISSIONS DE GES (GAZ A EFFET DE SERRE) PAR COMMUNE 2012,3709
RFF - Passage à niveau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d78,RESEAU FERRE - PASSAGE A NIVEAU (RGI),736
RFF - Trafic marchandises,FeatureTypeInfoImpl--60870653:141bc392aa4:-4bc3,RESEAU FERRE - TRAFIC MARCHANDISES (RGI),724
RFF - Trafic TER,FeatureTypeInfoImpl--60870653:141bc392aa4:-4b97,RESEAU FERRE - TRAFIC TER (RGI),726
SIAEP LALINDE - Canalisation eau potable,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-5286,CANALISATION EAU POTABLE,4473
SYSDAU - Terroir viticole à enjeu classé en espace naturel majeur,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7de6,PAI : ESPACE NATUREL,3208
AGRN : Petit patrimoine,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dc0,INVENTAIRE PETIT PATRIMOINE,635
CA Grand Villeneuvois - Points de collecte,FeatureTypeInfoImpl--1555e0c2:13a2c2c28f3:1aa8,GESTION DECHETS : POINTS DE COLLECTE D'ORDURES MÉNAGÈRES,1348
SMBV des Lacs du Born- Bassin versant du lac de Cazaux-Sanguinet,FeatureTypeInfoImpl--658a4c7:14bff0939fa:1526,SOUS BASSIN VERSANT,36
CG33 - ENS Parcelles,FeatureTypeInfoImpl-d69f80b:13d49cd4298:-7204,PARCELLES DES SITES ENS 2011,3996
SIBA - Stations de pompage,FeatureTypeInfoImpl-b616f19:1370de390e3:4db7,IRRIGATION COLLECTIVE : STATIONS DE POMPAGE,1863
SRCE - Co MOSO Landes,FeatureTypeInfoImpl--1349261:1431092c4c4:6086,SRCE / CORRIDORS LANDES,3599
TIGF - Sectionnement robinets,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-7890,POSTES DE SECTIONNEMENT ET ROBINETS DE SECURITE,1904
INSEE - Population par iris,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3d12,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
CA Cote Basque Adour - Maternelles et Primaires,FeatureTypeInfoImpl-2245790e:1419d44a43e:-64c3,ECOLES : MATERNELLES ET PRIMAIRES,2686
CEN Aquitaine - Sites gérés en 2012,FeatureTypeInfoImpl-2245790e:1419dc4bdd5:52cb,SITES GERES : 2012,3374
CG 64 - Plan local de randonnée,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e93,PLR - PLAN LOCAL RANDONNEE,2095
DDT 47 - Bruit Assiette,FeatureTypeInfoImpl-1bfa188e:149ec3ed113:199e,BRUIT INFRASTRUCTURES DE TRANSPORT - ASSIETTE,938
DDT 47 - Bruit Generateur,FeatureTypeInfoImpl-1bfa188e:149ec826460:7a8b,BRUIT INFRASTRUCTURES DE TRANSPORT - GENERATEUR,3544
DDT 47 - Entités Paysagères,FeatureTypeInfoImpl-2ef72339:14a34f162e0:-7b3f,WEB_3_2_11_LES ENTITÉS PAYSAGÈRES DU DÉPARTEMENT DE LA DORDOGNE - ETUDE BKM 1998/1999,2289
DDTM 33 - Localisation des stations d'epuration,FeatureTypeInfoImpl--2e1400eb:133edec7535:-7e84,LOCALISATION STATIONS SIRIL,4296
DRAC - Centres et Quartiers Anciens,FeatureTypeInfoImpl--30767c27:14358db9eed:-519d,CENTRES ET QUARTIER ANCIENS,3286
Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40,SINISTRALITE COMMUNES TRI - INONDATION,4427
INSEE - Population par communes,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3cfa,DENSITE ET REPARTITION DE POPULATION DES COMMUNES,519
FD chasse 33 - ACCA,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd0,ACCA (Association Communale de Chasse Agréée) : LIMITES,279
FD chasse 33 - gestion,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7de2,GESTION TERRITOIRE CHASSE,1554
BD ALTI - courbes de niveau DORDOGNE,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7da4,BD CARTO : DORDOGNE,904
BD ALTI - courbes de niveau GIRONDE,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d9c,BD CARTO : GIRONDE,903
BD ALTI - courbes de niveau LANDES,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7da0,BD CARTO : LANDES,906
Emissions du CO2 en 2010 (source : ORECCA/ATMO POITOU-CHARENTES/LIMAIR),FeatureTypeInfoImpl--32412c87:14eb58b5b50:174b,EMISSIONS DE GES - CO2,3361
CDC du Mézinais - Zonage du Plan Local de l'Urbanisme,FeatureTypeInfoImpl-2245790e:1419dadf6d9:-3372,PLU : PLAN DE ZONAGE,1437
CDC Prayssas - Zonage du Plan Local de l'Urbanisme,FeatureTypeInfoImpl-2245790e:1419d9b9955:-248a,PLU : PLAN DE ZONAGE,1437
CDC Sarlat Périgord Noir - AEP Purge,FeatureTypeInfoImpl-21464d69:14ebf34b699:340e,RESEAU AEP : PURGE,1683
CDC Sarlat Périgord Noir - Assainissement Conduite branchement,FeatureTypeInfoImpl-21464d69:14ebf34b699:3645,REGARD BRANCHEMENT ASSAINISSEMENT,4242
CG 24 - Sites d'activités Nautiques,FeatureTypeInfoImpl-7e125c65:133a1446f48:-72fc,SITES DES ACTIVITES NAUTIQUES,1542
CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01,RESERVES NATURELLES NATIONALES,223
SRCE - EF Liaisons principales et Liaisons régionales > 5000 v/j,FeatureTypeInfoImpl--57865d2e:1436bb867e2:33f3,LIAISONS DOUCES,4343
CDC Sarlat Périgord Noir - AEP Captage,FeatureTypeInfoImpl-21464d69:14ebf0d1d27:652,RESEAU AEP : CAPTAGE,2099
EPIDOR - En cours de reconnaissance,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e12,ZONES EN COURS DE RECONNAISSANCE,1670
GIP PQA - Quartiers prioritaires,FeatureTypeInfoImpl--b4fb97c:15375ef25c4:-6e8c,NOUVELLE AQUITAINE : PERIMETRE DES QUARTIERS PRIORITAIRES DE LA POLITIQUE DE LA VILLE,4304
SRCE - OA Corridors écologiques à préserver,FeatureTypeInfoImpl-4d80d622:153a8791791:-4fce,SRCE / CORRIDORS BOCAGE,2621
Emissions du Scope 1 en 2012,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-5a2d,EMISSIONS DE GES (GAZ A EFFET DE SERRE) PAR COMMUNE 2012,3709
AURBA - Lots des zones d'activités,FeatureTypeInfoImpl-510f4e81:13c906090df:-7ff6,LOTS DES ZONES D ACTIVITES,681
CC Montesquieu - Cadastre 2012 - Parcelles,FeatureTypeInfoImpl-4e3547f4:13c6cc45535:-9d5,CADASTRE ANCIEN : PARCELLES 1812,1697
AURBA - Routes des zones d'activités,FeatureTypeInfoImpl-510f4e81:13c906090df:-7ff0,ROUTES DES ZONES D ACTIVITES,688
DDTM40 - Petites régions agricoles,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d90,PETITES REGIONS AGRICOLES,250
PIGMA - Population arrondissement 2009,FeatureTypeInfoImpl-186890ab:15a3c80bf7e:4400,POP PAR ARRONDISSEMENT 2009,2028
PIGMA - Population canton 2009,FeatureTypeInfoImpl-186890ab:15a3cb5c811:73e0,POP PAR CANTON 2009,2029
PIGMA - Population commune 2009,FeatureTypeInfoImpl-186890ab:15a3c47cdb1:619c,POP PAR COMMUNE 2009,2030
DRAAF - Itinéraires bois ronds,FeatureTypeInfoImpl--155706dd:1373c90c085:-7ffd,ITINERAIRES BOIS RONDS,104
DRAAF - Nouvelles régions agricoles,FeatureTypeInfoImpl-36a1dd30:13467905b9c:-404,NOUVELLES REGIONS AGRICOLES,1484
DRAAF : Petites régions agricoles,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e9a,PETITES REGIONS AGRICOLES,250
DREAL - TMJA Trafic de 2011 à 2015 (DREAL),FeatureTypeInfoImpl-69be8d:14ebabec22e:-72c4,TRAFIC ROUTIER : TMJA,3663
DREAL - TMJA Trafic de 2011 à 2015 en ex-Aquitaine,FeatureTypeInfoImpl-69be8d:14eba561422:-363f,TRAFIC ROUTIER : TMJA,3663
DREAL - TMJM Trafic mensuel 2014 (DREAL),FeatureTypeInfoImpl-69be8d:14ebabec22e:-732a,TRAFIC ROUTIER : TMJM,3567
DREAL - TMJM Trafic mensuel 2014,FeatureTypeInfoImpl-69be8d:14eba4dfd05:-6576,TRAFIC ROUTIER : TMJM,3567
ERDF - Réseau aérien moyenne tension (15kv - 20kv),FeatureTypeInfoImpl-50da8329:133db20c97a:-7955,ARMOIRE MOYENNE TENSION,1289
ERDF - Réseau enterré moyenne tension (15kv - 20kv),FeatureTypeInfoImpl-50da8329:133db20c97a:-7951,ARMOIRE MOYENNE TENSION,1289
GIP ATGeRi - OCS 2000 Extension 24 - Bêta,FeatureTypeInfoImpl--5f51174f:1530efaf1b7:-1c29,OCS-CLC 2000 : 24,1395
GIP ATGeRi - OCS 2000 Extension 33 - Bêta,FeatureTypeInfoImpl--5f51174f:1530f039a13:-6a62,OCS-CLC 2000 : 33,1394
GIP ATGeRi - OCS 2000 Extension 40 - Bêta,FeatureTypeInfoImpl-3a9bdd1e:14fff9d0b16:-3703,OCS-CLC 2000 : 40,1393
GIP ATGeRi - OCS 2000 Extension 47 - Bêta,FeatureTypeInfoImpl--22d246a4:1523125f4b9:-3dc8,OCS-CLC 2000 : 47,1392
GIP ATGeRi - OCS 2000 Extension 64 - Bêta,FeatureTypeInfoImpl-3a9bdd1e:14fff9d0b16:4266,OCS-CLC 2000 : 64,1391
GIP ATGeRi - OCS évolution entre 2000 et 2009 Extension 24 - Bêta,FeatureTypeInfoImpl--5f51174f:1530ef1e470:75a5,OCS-CLC 2000 : 24,1395
GIP ATGeRi - OCS évolution entre 2000 et 2009 Extension 33 - Bêta,FeatureTypeInfoImpl--5f51174f:1530ef53444:-4545,OCS-CLC 2000 : 33,1394
GIP ATGeRi - OCS évolution entre 2000 et 2009 Extension 40 - Bêta,FeatureTypeInfoImpl-375d97f6:1500390e6c2:-3588,OCS-CLC 2000 : 40,1393
GIP ATGeRi - OCS évolution entre 2000 et 2009 Extension 47 - Bêta,FeatureTypeInfoImpl--22d246a4:1523138923a:-6bd9,OCS-CLC 2000 : 47,1392
GIP ATGeRi - OCS évolution entre 2000 et 2009 Extension 64 - Bêta,FeatureTypeInfoImpl-375d97f6:1500390e6c2:-348f,OCS-CLC 2000 : 64,1391
Zones de gestion du SAGE nappes profondes de Gironde,FeatureTypeInfoImpl-538fbc38:14cb33f7e3c:4fa6,SAGE : ZONES HUMIDES,3272
SRCE - RB MOSO Landes,FeatureTypeInfoImpl-65def64e:153a3fa3fe1:-285f,SRCE / CORRIDORS LANDES,3599
SRCE - Co Système bocagers,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58ff,SRCE / MILIEUX SOUS TRAMES : BOCAGERS,2645
Urbanisme - Landes Zonages,FeatureTypeInfoImpl--69a2e1b0:143720ddf42:-3f9b,EVOLUTION URBANISME (1990 - 2006) AVEC LE RESEAU ROUTE PRIMAIRE AU NORD DES LANDES DE GASCOGNE,3699
Urbanisme - Gironde Zonages,FeatureTypeInfoImpl--266e24e3:148592967ca:-3530,DOCUMENT URBANISME : NORD MEDOC EN GIRONDE,2252
AURBA - Hydrologie des zones d'activités,FeatureTypeInfoImpl-1f027e38:13c8e8c3c25:-5f8a,HYDROLOGIE DES ZONES D ACTIVITE,684
CA Cote Basque Adour - Etablissement pour Personnes Agées,FeatureTypeInfoImpl-2245790e:1419d44a43e:-2259,ETABLISSEMENTS POUR PERSONNES AGEES,1298
CR Aquitaine - EPCI Nouvelle Aquitaine,FeatureTypeInfoImpl-10996a3e:15355fc0fb6:5e0d,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
Chambre agriculture 33 - Bulletin Sanitaire Vegetal BSV Parcelles,FeatureTypeInfoImpl-5c8f87e1:14407aa6100:-45ad,NB PARCELLES BSV (BULLETIN SANITAIRE VEGETAL),2702
CR Aquitaine - PAYS - Septembre 2013,FeatureTypeInfoImpl-19088863:140f35c1596:-650f,PAYS DU MÉDOC - 2013,3849
INSEE - Contours Iris 2010,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d54,CONTOURS IRIS : LIMOUSIN,894
EPIDROPT - Arbres instables Ap,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ea4,RIPISYLVE : ARBRES INSTABLES (Ap, Api, ATL, ATT),1692
EPIDROPT - Arbres instables Api,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e9e,RIPISYLVE : ARBRES INSTABLES (Ap, Api, ATL, ATT),1692
FD pêche 33 - Plans d'eau fédéraux,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7da8,PLANS D'EAU FEDERAUX,1688
OSM - EPCI Nouvelle Aquitaine,FeatureTypeInfoImpl--1bed10f1:14f893ace16:-62ac,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
Vue Aérienne 2004-2008 50cm,CoverageInfoImpl--25674c34:158ce250908:42c3,BD ORTHO 50CM 2004-2008 : AQUITAINE,1260
SDIS 64 - PAI Espaces naturels,FeatureTypeInfoImpl--1e53a2c2:13f56e5d5ab:2d71,ESPACES NATURELS PROTEGES,2131
SIBA - Bassins de rétention des eaux usees,FeatureTypeInfoImpl-b616f19:1370de390e3:4c2f,RESEAU D EAUX USEES,671
SRCE - Eléments fragmentants - sept 2012,FeatureTypeInfoImpl--4a30557a:13af28f792b:2314,SRCE / ELEMENTS FRAGMENTANTS,2626
DDCSPP 47 - Elevages bovins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:2fa2,ELEVAGES BOVINS LAITIERS OU MIXTES,4306
DRJSCS - Equipements sportifs - 2015,FeatureTypeInfoImpl--4866c453:14b267421b3:-be3,CARTE DES EQUIPEMENTS SPORTIFS,3384
FD chasse 33 - ACCA et SCC,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd6,ACCA (Association Communale de Chasse Agréée) : LIMITES,279
ONF - Forêts relevant du régime forestier,FeatureTypeInfoImpl--2f77feef:134c1e338be:5417,FORET RELEVANT DU REGIME FORESTIER,267
SIAEP LALINDE - Canalisation de Branchement,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-52a5,RESEAU AEP : CANALISATION DE BRANCHEMENT,1676
SRCE - RB MOSO Landes à caractère temporaire (Klaus),FeatureTypeInfoImpl-65def64e:153a415ce51:3cf2,SRCE / CORRIDORS LANDES,3599
SRCE - Co Feuillus et forêts mixtes,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58df,SRCE / CORRIDORS FEUILLUS,2623
SRCE - RB Boisements de feuillus et forêts mixtes,FeatureTypeInfoImpl-79dddd8c:13ae31c6665:-1f23,SRCE / CORRIDORS FEUILLUS,2623
SRCE  - RB ouverts semi-ouverts - Avril 2013,FeatureTypeInfoImpl-79dddd8c:13ae31c6665:-23a9,SRCE / CORRIDORS OUVERTS,2625
Urbanisme Aquitaine - Zonages,FeatureTypeInfoImpl--4159a477:142dc59f1f3:-17f4,POPULATION 1990-2007 DES PRINCIPAUX ZONAGES GEOGRAPHIQUES EN AQUITAINE,1927
DDTM33 - Bathymétrie Bassin Arcachon,CoverageInfoImpl--362f1b0d:14b78f4c2b9:-7f40,MOUILLAGES BASSIN ARCACHON,1915
DDTM33 - Bathymétrie Bassin Arcachon 2015,CoverageInfoImpl--25674c34:158d4bfb45b:-2688,MOUILLAGES BASSIN ARCACHON,1915
DREAL - Logements sociaux 2014 - Loi,FeatureTypeInfoImpl--126beca8:15433db0a2f:6410,ETALAB : LOGEMENTS DU PARC LOCATIF SOCIAL LOGEMENTS SOCIAUX COLLECTIFS,3525
IGN - BD ORTHO 2,5 m tiff,CoverageInfoImpl-7738d5f9:1586e068de6:1497,BD ORTHO 2005 : 20 CM,1213
DREAL - Logements sociaux 2013 - Loi,FeatureTypeInfoImpl-2307f41c:14bca6de111:-5bcd,ETALAB : LOGEMENTS DU PARC LOCATIF SOCIAL LOGEMENTS SOCIAUX COLLECTIFS,3525
FD chasse 33 - Acquisition ACCA,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dde,ACQUISITION TERRITOIRE - ACCA,1551
FD chasse 33 - Acquisition fondation,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dda,ACQUISITION TERRITOIRE - FONDATION,1552
GIP ATGeRi - Région Nouvelle Aquitaine,FeatureTypeInfoImpl--b4fb97c:1537449ee22:-90b,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
Gironde Numérique  - Offre ADSL,FeatureTypeInfoImpl-7db33db5:1358b9daa26:-7baa,OFFRE ADSL : SIMULATION,1689
IGN ADMIN EXPRESS - EPCI,FeatureTypeInfoImpl--64db1a4f:15a93e2cc0f:-6671,NOUVELLE AQUITAINE : SCAN 1000® EXPRESS IGN,3888
BD ALTI - courbes de niveau LOT-ET-GARONNE,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7da2,BD ORTHO 2,5M : LOT-ET-GARONNE,2228
BD ALTI - courbes de niveau PYRENEES-ATLANTIQUES,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d9e,BD ORTHO 2,5M : PYRENEES-ATLANTIQUES,2229
PNR LG - Cercles de Gascogne,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6f10,HYDROGRAPHIE : TERRITOIRE DU PNR LANDES DE GASCOGNE,3693
RFF - Classement Sonore en Aquitaine,FeatureTypeInfoImpl--60870653:141bbafd8c4:-539d,CLASSEMENT CADASTRAL DU PARC DES LOGEMENTS EN AQUITAINE EN 2007,1931
